timecode,transcript
00:09:27.10 - 00:09:38.63,"Um I'm trying to think of a good example of a category they don't really understand, they don't understand um the fuel and energy related activities category because I need to, that's usually more of an education process."
00:09:38.63 - 00:09:48.90,"Understanding okay, what transmission and distribution losses are why there are emissions upstream for when the fuel to produce electricity is extracted, that kind of thing."
00:09:48.91 - 00:09:53.95,Um purchase goods and services often sometimes takes a little bit of explanation.
00:09:53.96 - 00:10:00.98,"Okay, the things that you buy have embodied emissions because they took emissions they took energy to produce."
00:10:00.99 - 00:10:06.86,"Um So yeah, there's definitely an education component when it comes to each scope three category."
00:10:06.87 - 00:10:11.64,And I think the big question is like okay which of these do we have to account for?
00:10:11.65 - 00:10:12.99,And then like what's the limit?
00:10:13 - 00:10:14.81,What's the boundary on these categories?
00:10:14.81 - 00:10:17.28,How far down the chain do we need to go?
00:10:17.29 - 00:10:22.74,Um A lot of like I said it's easier with clients that make a physical product.
00:10:22.75 - 00:10:25.04,I think that's it's a lot more straightforward clients.
00:10:25.05 - 00:10:39.40,"Yeah with clients that are like um like financial services clients, they're really struggling with the especially because the methodology for category 15 investments category is there's still so many different methodologies out there for calculating that."
00:10:39.41 - 00:10:42.73,Um They're like okay what do we need to include?
00:10:42.73 - 00:10:54.88,And I think there's some some things that are lost in translation when comparing the language of how financial services discuss their different different types of investments versus how the G.
00:10:54.88 - 00:10:56.13,Protocol discusses it.
00:10:56.14 - 00:10:58.08,Um So that's a little bit of a trance.
00:10:58.09 - 00:11:06.39,Like that's a that's a hard exercise into into their terminology right into language they understand.
00:11:06.40 - 00:11:08.48,Um Yeah it's hard.
00:11:08.69 - 00:11:12.41,Yeah I've heard that a lot like everyone has their own version of that.
00:11:12.41 - 00:11:15.26,It's like talking to marketing or talking to these people.
00:11:15.27 - 00:11:27.52,"It's like a lot of Yeah especially because there's so many different data sources across the company, like so many different departments in a company need to be involved in a complete like if you're doing like a complete scope, three inventory?"
00:11:27.53 - 00:11:28.85,You understand?
00:11:28.85 - 00:11:33.65,Okay accounting is involved for the spend data but then facilities involved.
00:11:33.66 - 00:11:38.45,"Okay do we have any like leased assets or where do we send our, where are all our products going?"
00:11:38.46 - 00:11:53.83,They take so many different sides of the company to do a full inventory That um getting everyone to talk in the same language is sometimes difficult but that's also part of like okay learning the company itself and understanding what what they do.
00:11:54.93 - 00:11:55.88,Yeah.
00:11:55.89 - 00:12:01.03,Um And you also mentioned that you do party auditing.
00:12:01.04 - 00:12:04.92,Is that yeah we do verification and assurance over over some clients.
00:12:04.92 - 00:12:14.27,That was my we do we do some um prior with a firm called Apex um Who did exclusively we didn't do any consulting.
00:12:14.27 - 00:12:16.52,We exclusively did verification and assurance.
00:12:16.53 - 00:12:30.64,"Um So that's a that's a different kind of engagement where that's more we're following a pretty strict protocol in order to check their emissions calculations, check that background data."
00:12:30.65 - 00:12:37.69,Um That's really something that we see clients that are more that are further along in the process go for.
00:12:37.69 - 00:12:40.10,Maybe they've been doing their inventory for a few years.
00:12:40.11 - 00:12:45.73,They feel pretty good about their methodology so then they were like okay we want third party assurance of it.
00:12:45.73 - 00:12:52.03,And so it's we're checking sampling of the source data that they're using their calculation methods.
00:12:52.03 - 00:12:53.70,The actual calculation numbers themselves.
00:12:53.70 - 00:12:55.19,The roll ups that kind of thing.
00:12:55.20 - 00:13:14.59,"Um Yeah is that a fairly manual process like you know you want to check specific calculation and then you like go into your own software or like Yeah, so it depends on the software that the client is using for their um For their inventory somewhere."
00:13:14.59 - 00:13:15.16,Just a lot.
00:13:15.16 - 00:13:17.06,Most are just doing it in Excel still.
00:13:17.07 - 00:13:19.32,Um and so that is really just okay.
00:13:19.32 - 00:13:20.66,We will check.
00:13:20.67 - 00:13:25.01,I'll take they so they'll they'll have acclaimed emissions total.
00:13:25.02 - 00:13:26.47,So I'll take like a subset.
00:13:26.47 - 00:13:32.16,"Okay, they say for this office, this is the total amount of emissions, this is the total amount of electricity usage."
00:13:32.16 - 00:13:40.46,"I'll do my own calculations to say, Okay, does that match up we have a materiality threshold, like plus or -5% of the whole scope that we work on?"
00:13:40.90 - 00:13:43.25,Um The that's fairly manual.
00:13:43.25 - 00:13:46.32,"I mean, it depends if they're using like online carbon accounting platform."
00:13:46.32 - 00:13:53.73,"Sometimes it can actually be a little more difficult to check those calculations because in Excel they're very visible, right?"
00:13:53.73 - 00:13:56,"You can click on a cell, see where things are coming from."
00:13:56.01 - 00:13:59.88,Um but they're a little more opaque on an online carbon couching platform.
00:13:59.89 - 00:14:15.16,"Um but then the other part of what we do is we review a selection of like documentation for background data that was like, okay, you claim you used 100,000 kilowatt hours here."
00:14:16.03 - 00:14:17.26,Where can you prove that?
00:14:17.26 - 00:14:18.57,Can we see the invoices for that?
00:14:18.57 - 00:14:22.13,"Or can we see a report from, your utility provider saying this is how much energy used."
00:14:22.14 - 00:14:41.63,"and so in that case is when they're using an online platform, it's usually a little easier because they have the opportunity to attach evidence to particular like items so we can go in so we have to request less from the actual client and sometimes if we're trying to get those electricity bills, it's back and forth with a particular office or with the utility provider that takes some time."
00:14:41.64 - 00:14:50.74,"But if they've uploaded that evidence to a system, it's, it's a little more straightforward for us to go and say, okay, we can see for january at this location, this is the electricity usage."
00:14:50.75 - 00:14:51.60,Right.
00:14:52.57 - 00:14:53.05,Yeah.
00:14:53.06 - 00:15:02.43,"And what are some of the common challenges in auditing um when you go back and forth, what what are those back and forth?"
00:15:03.43 - 00:15:34.54,"Um I think like I said a lot of it is okay, this is the data like this is the data we need um that's what takes a lot of the time is okay actually getting some of the source data, I think a lot of companies don't have a, I really flushed out inventory management plan for example, where they describe the exact methodology of their calculations and the exact methodology of how they collect their data in the few instances where I've worked with clients that do have that."
00:15:34.55 - 00:15:40.20,"It really helps the auditing process because we can understand, okay, this is where that data is coming from."
00:15:40.21 - 00:15:47.08,"This is how, if there's any QA QC procedures, this is what they are um and then this is how the calculation is done."
00:15:47.08 - 00:15:53.54,These are the emission factors we use having something like a document like that that's laid out is really helpful um but it's not very common.
00:15:53.55 - 00:15:55.55,"Okay, that's what we're working on."
00:15:55.56 - 00:15:57.26,Yeah.
00:15:57.27 - 00:15:58.42,"Yeah, no that's definitely great."
00:15:58.42 - 00:16:24.42,"Like understanding like this is the methodology, this is this is the process and procedures is like something that at the beginning of an audit is always super helpful to read through it because it just that would reduce the number of questions that I have for the client right the back and forth a lot of the times like looking at it from a third party perspective, you'll have questions that are really not, it's really not an issue, not a verification issue."
00:16:24.43 - 00:16:26.60,It's really just something that needs to be explained.
00:16:26.61 - 00:16:35.45,Um and so it's a quick back and forth but having having that that methodology like laid out in front of you can reduce the number of back and forth.
00:16:35.45 - 00:16:36.87,You need to have great.
00:16:36.88 - 00:16:47.23,"Um So aside from auditing you also you know, back to the client work and the measurement and all of that."
00:16:47.24 - 00:17:00.70,Um is there any interest in having some sort of like science based targets package or I don't know like is there any specific things that you do for that initiative?
00:17:01.21 - 00:17:05.67,Yeah for science based targets that's usually that we go through that process quite a bit.
00:17:05.68 - 00:17:12.19,"It's a pretty common ask once once companies have been doing their inventory for a few years, they're looking to set targets."
00:17:12.20 - 00:17:22.81,Um And it's becoming less common for companies just but I think a few years ago companies would just pick up either pick an arbitrary number or pick something that they thought they could achieve and set that target.
00:17:23.09 - 00:17:28.33,Now there's a lot more interest in science space targets having that approved.
00:17:28.34 - 00:17:49.09,So when we go through that process um often times it's kind of in combination with a with a scope three screening because they want to know if okay if their scope three emissions are greater than 40% they have to set a scope three science based targets and sometimes the people interested haven't haven't completed their full scope three inventory yet.
00:17:49.10 - 00:17:55.21,"Um So that's the first part is like okay, scope three screening determine if they need to set a scope three target."
00:17:55.22 - 00:18:00.57,Usually in almost all cases it's yes because scope three emissions are so much bigger than scope one and two.
00:18:00.58 - 00:18:18.75,Um but then it's really about they clients want to either either they'll commit immediately and then they'll say okay we have two years to figure it out or they really want to understand their target options before they even commit publicly to setting them.
00:18:18.76 - 00:18:24.71,So what we'll do is take their emissions inventory and model out most commonly used.
00:18:24.71 - 00:18:25.30,We'll use the S.B.T.I.
00:18:25.65 - 00:18:27.71,Tools to model out.
00:18:27.71 - 00:18:30.03,Okay these are your potential targets right?
00:18:30.03 - 00:18:33.80,If you set a absolute emissions target it looks like this.
00:18:33.80 - 00:18:38.98,If you set the intensity target it looks like this back when to under two degrees C.
00:18:38.98 - 00:18:40.15,And 1.5 degrees C.
00:18:40.15 - 00:18:40.88,Targets were allowed.
00:18:40.88 - 00:18:43.72,We would model at both those different pathways and show them the difference.
00:18:43.73 - 00:18:46.10,Now it has to be below 1.5 degrees C.
00:18:46.10 - 00:18:50.99,So we'll model out both of those different pathways and then a lot of clients won't understand.
00:18:50.99 - 00:18:55.27,"Okay so this is a hypothetical target, is it achievable for us?"
00:18:55.28 - 00:19:08.55,So well okay if you um if you purchased all this renewable energy where would that put you on in relation to your goal if you covered all your electricity with renewables for example.
00:19:08.56 - 00:19:19.83,Um So then it's more okay then they will publicly commit and then we'll go through the more formal target setting process which is a little more rigorous in terms of science based targets will come back and ask questions about.
00:19:19.83 - 00:19:22.84,Okay how did you do your inventory?
00:19:22.84 - 00:19:25.36,Did you account for this particular thing and scope three?
00:19:25.37 - 00:19:28.09,So that's more of a back and forth with the science based targets group.
00:19:28.10 - 00:19:32.12,Um But yeah so that's kind of an overview of the process there?
00:19:32.13 - 00:19:38.52,Um And it is with the science based targets tools are are great to a degree.
00:19:38.53 - 00:19:50.07,Sometimes it's a little confusing that their their version numbers are they like they'll have multiple versions up that exist on the internet and if you're using like an outdated version you gotta be careful because it won't it won't give you the same math.
00:19:50.08 - 00:20:03.04,Um but we'll we'll check it internally with our with our with our own calculations because usually those Percentage reductions are pretty straightforward and we can just say Oh it's 4.2% each year or something like that.
00:20:03.05 - 00:20:12.57,Occasionally clients will want to be more aggressive than the actual what the tool spits out as they're like minimum pathway for 1.5 degrees C.
00:20:12.58 - 00:20:15.80,Um So well we'll adjust that as well.
00:20:15.81 - 00:20:17.09,Yeah.
00:20:17.10 - 00:20:26.46,Um And what is like what is that conversation with um the client and them getting buy in from their organization or do you not?
00:20:26.47 - 00:20:28.82,Are you not as involved in that part?
00:20:28.83 - 00:20:33.89,Usually usually they come to us when they already have buying to set a target.
00:20:33.90 - 00:20:37.34,However sometimes it's something that comes up.
00:20:37.35 - 00:20:41.49,Say we're doing an initial scope three or scope one and two inventory.
00:20:41.49 - 00:20:44.61,Maybe some scope three part of our recommendations.
00:20:44.62 - 00:20:52.11,"We always provide recommendations at the end of the project things to think about, oh this is this is where you could potentially look to look reduce your emissions."
00:20:52.12 - 00:20:57.83,You should consider setting a target and usually our suggestion is to point them towards the science based targets as best practice.
00:20:57.84 - 00:21:11.77,Um Occasionally they've they've looked at that and they say this makes sense for us but really um yeah if they trust our advice coming out of the initial inventory and we say we think science based targets are best practice.
00:21:11.78 - 00:21:14.11,Occasionally they'll say yes let's do it.
00:21:14.12 - 00:21:30.45,Sometimes it needs to come from higher up um to get by and maybe they're getting pressure um from investors or things like that to set rates or um or from or we're seeing slightly more and more supply chain connections right?
00:21:30.45 - 00:21:37.24,"For for maybe some of their customers, their biggest customers, their biggest suppliers want their value chain to have targets set."
00:21:37.25 - 00:21:40.16,So that occasionally will be a motivator as well.
00:21:40.81 - 00:21:41.72,Yeah.
00:21:41.73 - 00:21:48.21,And are the are the tools that you have to use per client?
00:21:48.22 - 00:21:51.58,Um You know like do they change at all?
00:21:51.59 - 00:21:55.09,Um What is the biggest challenge with science based targets?
00:21:55.10 - 00:22:00.36,Because often what I hear is that it's the same challenges as everything else?
00:22:00.36 - 00:22:01.50,Like it's the data really.
00:22:01.50 - 00:22:08.14,But is there any specific um Any specific tools that you use for this process?
00:22:08.15 - 00:22:09.16,Yeah.
00:22:09.17 - 00:22:18.59,"I think there's not really, not really any tools, I think the process is slightly different just depending on the client, depending what what scope three categories are material to them."
00:22:18.59 - 00:22:32.42,"Scope one and 2 is usually pretty straight forward, no matter what it's like the sci fi target tool is gonna spit out A potential target that that meets their criteria that's below 1.5°C pathway."
00:22:32.43 - 00:22:44.10,"Thinking about the script targets Are a little more if you're not looking into the net zero guidance, which some clients are looking at like long-term net zero targets for like 2050 or earlier."
00:22:44.11 - 00:22:51.83,Those have to they expand that boundary that you have to cover 90% of your scope three emissions or 95%.
00:22:51.84 - 00:22:53.25,I can't remember off the top of my head.
00:22:53.94 - 00:23:07.41,"Um but the scope three targets for Like the near-term targets or the medium-term targets that are like 10 years out, they don't have to cover that much of your scope three emissions."
00:23:07.41 - 00:23:16.19,So some some companies and you can see this on the science-based target website will set a sense we target only over a certain category of their scope three.
00:23:16.20 - 00:23:24.67,So that's really where it gets more customized depending on the client is the scope three target and the potential for that um scope one and two is usually more straightforward.
00:23:24.67 - 00:23:31.42,"But yeah, I think If they have a scope on into inventory and it's completed that target setting process is fairly straightforward."
00:23:31.43 - 00:23:38.75,"It is when it gets comes to scope three, it's really determining some some clients are like, Okay, are we above or below that 40% threshold."
00:23:38.75 - 00:23:43.75,That means we have to set a scope to target and then once they say they're above it.
00:23:43.75 - 00:23:43.97,Okay.
00:23:43.97 - 00:23:46.07,Which which combination of categories?
00:23:46.71 - 00:23:50.41,I think it's about 60% of the scripture emissions have to be included in the target.
00:23:50.42 - 00:23:53.45,So which combination of categories do we need to set a target on?
00:23:53.46 - 00:23:58.75,Can we set a target just on 11 category.
00:23:58.75 - 00:24:03.51,For example if they have one category that really dominates their um their scope three emissions.
00:24:03.51 - 00:24:09.74,So that's where it gets a little more a little more difficult and a little more customized depending on the client.
00:24:09.74 - 00:24:11.34,And there's not really a tool that we use.
00:24:11.34 - 00:24:13.79,It's kind of just math um to determine.
00:24:13.79 - 00:24:14.08,Okay.
00:24:14.10 - 00:24:18.19,"Does they, do they are they meeting the threshold if they include these categories?"
00:24:18.19 - 00:24:24.97,"Are they meeting the threshold if they're only setting a target on, you know, just 13 category?"
00:24:24.98 - 00:24:25.98,Yeah.
00:24:25.99 - 00:24:46.08,And within your own company and colleagues um is it do you guys often have the same client or is it an autonomous thing where like I'm working on this client or is it more of like usually it's a team um there'll be a team of associates and a couple analysts on each client engagement.
00:24:46.09 - 00:24:58.18,"Um But these are you the science based target process is usually part of a bigger scope of work that we have for a client, usually there's other things happening in parallel at the same time but that maybe other members of my company are working on."
00:24:58.19 - 00:25:06.18,"Um Yeah, so it's it's really not like one person going off and setting a target for someone is really a team thing."
00:25:06.19 - 00:25:07.21,Yeah.
00:25:07.22 - 00:25:08.91,How do you guys collaborate?
00:25:08.91 - 00:25:40.74,"Like and how Yeah, I mean I think it's it's mostly about I mean it's just about communicating with each other and like I said okay you can use the science based targets tool tool to model out their potential scope one and two targets and you can use it to model their potential school three and then we kind of we usually bring them together in some form of presentation slides to show them okay these are your target options and will work collaboratively collaboratively in those slides usually power point."
00:25:40.75 - 00:25:56.59,"Um I don't think there's any good I mean Excel obviously we're using to do something, do the calculations um and then we'll maybe we'll write up a report and say okay these are your missions these your target options, that kind of thing."
00:25:57.15 - 00:25:57.74,Yeah.
00:25:58.35 - 00:25:58.99,Cool.
00:25:59 - 00:26:11.62,So overall in like your work and your company um what are some of the bigger challenges that you face that you know that we could be helpful in with like software tools?
00:26:11.62 - 00:26:21.03,So we have larger men were working on a lot of things and we're trying to work more specifically with um creating tools for consultants.
00:26:21.04 - 00:26:31.07,Um So what what do you see out there in the world challenges like not specific features that you need but just like I think the biggest challenge.
00:26:31.07 - 00:26:42.90,And this is something we talked we just we touched on briefly is that data collection side of things for the client to to really if if a client doesn't have a centralized system where they're tracking all of these different information that we need?
00:26:42.90 - 00:26:50.36,"It's hard to build that uh for each, each individual client because every client system systems are kind of different."
00:26:50.37 - 00:26:56.45,Um I know there's progress made on this with the ability to connect to some systems with a P.I.S
00:26:56.87 - 00:26:58.79,Or other other things like that.
00:26:58.80 - 00:27:13.68,"I think just it's almost more like okay in educating educating the clients that, so this is to make them understand that this is information that needs to be tracked year over year or even like month to month and have that all in one central location."
00:27:13.69 - 00:27:29.07,"I think that's the biggest challenge that we deal with is really they sometimes they'll they'll do, they'll do an inventory, they'll get us all the data for one year and then they'll they'll maybe forget about it for a whole another year until they're ready to do it again."
00:27:29.08 - 00:27:31.71,And that's really not the most efficient way to collect this data.
00:27:31.71 - 00:27:33.55,It really should be an ongoing process.
00:27:33.56 - 00:27:36.32,Um That's the biggest challenge.
00:27:36.32 - 00:27:41.14,I think another one is potentially the boundary setting.
00:27:41.15 - 00:27:49.37,"Um discussions, clients really don't understand the difference between the different control approaches that the GsC protocol uses."
00:27:49.37 - 00:27:53.20,So like operational control financial control equity share approach.
00:27:53.21 - 00:27:59.98,They're also really concerned about the sec has proposed climate rule and what that means for setting their boundaries.
00:27:59.99 - 00:28:13.61,"I think in the climate rule it might have, we'll see when it finally comes when the final version comes out, but are they going to need to align their greenhouse gas emission boundaries with their financial reporting boundaries like they have in their in their 10-K.S."
00:28:13.91 - 00:28:16.29,Um So that's that's another one.
00:28:16.29 - 00:28:17.87,So data collection and the boundary setting.
00:28:17.88 - 00:28:20.10,Our two big ones I think.
00:28:20.59 - 00:28:26.64,Do you provide any sort of templates or any spreadsheets that they can get started on?
00:28:26.64 - 00:28:27.21,Like when?
00:28:27.22 - 00:28:36.36,"Yeah, we usually we'll send them a data collection spreadsheet after we if we if we know okay there's this many locations and they all use, we won't understand."
00:28:36.36 - 00:28:37.89,"Okay, do they use electricity?"
00:28:37.89 - 00:28:47.31,Do they use natural gas will send kind of a either a Excel template or that they can fill out and then return to us.
00:28:47.97 - 00:28:54.14,"Which is great when they do a lot of times they don't do that, they just send back the bills and they make us pull out the information."
00:28:54.15 - 00:29:04.30,"Um or we've been starting to move to like surveys where we say, okay, if we have a contact, we'll build a survey for them to input the information into a survey."
00:29:04.30 - 00:29:11.75,"And then we that's if everyone fills out the survey, it's a little more straightforward because then we can export survey um data and it's easier to work with."
00:29:11.76 - 00:29:23.81,"But yeah, it's still it's still about kind of it's still a fairly manual process like okay, understanding these are the correct contacts at each site to send it out to getting the data, putting it all together, that kind of thing."
00:29:23.82 - 00:29:24.48,Yeah.
00:29:24.49 - 00:29:35.13,"And do they, let's say somebody has 1000 locations all over the world, they really have access to these factories if they want to do a full."
00:29:35.14 - 00:29:36.71,So it depends on the company.
00:29:36.71 - 00:29:43.08,"The really mature companies will, will have some kind of, especially if they're pushing 1000 locations that they own."
00:29:43.09 - 00:30:01.41,"Um They more mature companies are using, like I said, like I hinted at a bill pay service, Energy does a bill pay service or they'll have a central tracking system where maybe not all of their stores are on it, but some of their stores are on it and so we can take that data and that's it's great when they have it."
00:30:01.60 - 00:30:11.62,"Um sometimes they'll have access a lot of the times, especially in the least locations they don't have access to the bills because they don't get billed directly."
00:30:11.62 - 00:30:13.62,They're paying the landlord back for utilities.
00:30:13.63 - 00:30:29.07,"And those cases we either can ask the landlord for full building data and pro rated by square footage that they that they're occupying the building or if there's no data available, which is often the case with some, we use estimates for for some locations where they don't have data."
00:30:29.08 - 00:30:37.38,"Um It's, it's all this is that's the, that's the tedious part really is figuring, okay which locations are we going to get data for?"
00:30:37.38 - 00:30:43.66,"Which locations do we need to estimate which locations do we have like maybe full building data, but not just their space."
00:30:43.67 - 00:30:48.14,"Um, so that's that's a big tricky challenge that we deal with."
00:30:48.15 - 00:30:48.52,Yeah.
00:30:48.53 - 00:30:52.52,How do you communicate the accuracy of those estimates?
00:30:53.26 - 00:30:53.72,Yeah.
00:30:53.73 - 00:31:00.19,"So it's, I think it's like we will use, it depends on how much data we've actually received from the client."
