id,timecode,transcript
a,00:15:02.17 - 00:15:09.12,So that's sort of what we're doing and are the factories in putting all this information themselves is a very manual for them.
a,00:15:09.12 - 00:15:14.95,"Like how do you, how do you, how do you know it's accurate or is that the auditing process?"
a,00:15:14.96 - 00:15:17.16,So that's the verification part of it.
a,00:15:17.16 - 00:15:30.18,So um there and and the majority of the facilities that we're working with right now do have their scores verified there in the inputs verified at this point.
a,00:15:30.40 - 00:15:49.86,"Um, and we have kind of like a, a work up to this point as well, so maybe like the first year of partnership, we just have them do a self assessment and then we build it in that the second year, you know, depending how things are going, we work with them for the year, we'll have them go through the verification process etcetera, etcetera."
a,00:15:49.87 - 00:15:56.10,So I think the first time is probably the most cumbersome and difficult.
a,00:15:56.11 - 00:16:19.83,"But what's good about this platform is um the year over year kind of scores or details would be uh you can kind of like carry them over, so it's, you don't have to go through necessarily like all of the same work and calculations, but you know, like what kind of details and documents you need to gather to kind of complete it."
a,00:16:19.83 - 00:16:28.52,"So I think like with all of these reporting mechanisms, there is a level of probably difficulty and and time consumption that goes into it."
a,00:16:28.53 - 00:16:58.73,"Um but what's also good about Hig is it's at least to my knowledge, the only kind of unified um survey that a lot of these factories are receiving and it's becoming a bit um it's not quite ubiquitous, but I think it's, it's kind of on its way to that path where a lot of brands in particular are, are kind of requiring this of of at least tier one factories."
a,00:16:58.74 - 00:17:08.32,"Um so I think, you know, a factory just has to do it once and if another brand has already asked them to do it, they can just share those results with us or vice versa."
a,00:17:08.32 - 00:17:11.45,"If we've asked them to do it, they can send it to somebody else who's asking for it."
a,00:17:11.46 - 00:17:26.87,"So it's kind of a unified system where we're collecting the exact same information across the industry and across factories for really easy kind of benchmarks and comparisons and um hot spot analysis, it's really interesting."
a,00:17:26.88 - 00:17:34.60,"Um Yeah, the fashion industry definitely has, like a lot of sustainability tools that I'm sure are very specific to."
a,00:17:34.61 - 00:17:36.06,Yeah.
a,00:17:36.07 - 00:17:58.70,"Um so in your team, um it sounds like you've had um well from what I saw in your linkedin, you've had an education and sustainability, but is that is that common, or is there any type of education that you have to do once you receive these materials, like how do you translate them and make them useful for the rest of the organization, or?"
a,00:17:58.71 - 00:18:04.39,"Yeah, maybe not useful, but yeah, what is that, you know, share out process to your stakeholders?"
a,00:18:04.40 - 00:18:06.46,"Yeah, that's a really good question."
a,00:18:06.46 - 00:18:14.40,That's something that um we we take a lot of care to pay a lot of attention to.
a,00:18:14.41 - 00:19:16.66,"Um and I think that's why I mentioned the piece about how closely we work with our marketing team in the beginning is um I think we both, because of our size, we're also what we're also a privately held company and sustainability kind of broadly has sort of been part of our our messaging and our our yeah, our reason why um for for a very long time, so it's really important that we get the story right, And um but that also it's the same is true for our internal storytelling as well, um because we really need kind of everybody to be on board and to be aligned with these bigger missions, you know, the bigger mission and these goals that we've set out for ourselves because they really are quite tough and it's not something that the rest of the industry kind of largely is doing, so it takes a lot of work, um but I think it's also a reason why a lot of employees join company-name-extracted in to begin with."
a,00:19:17.37 - 00:19:46.77,"So um I do have one person on my team who is actually an environmental analyst and she also has an educational background in sustainability, um but specifically in agriculture and uh but she her previous work was all in communication, so she kind of also has this really interesting um uh kind of, I don't know, she's got a lot of skills both on the analytical side, but also on the calm side."
a,00:19:46.78 - 00:20:28.64,"So we do a lot of work just kind of internally educating um not just keeping everyone up to date, but actually going to specific teams and kind of helping them understand um what what our goals are and how they specifically influence or impact what those goals mean, So um we've done things like sort of internal road shows where we've gone around to all of the strategic kind of teams that we've identified as being part or impactful to a specific goal and we kind of help break it down for them, help them understand what we're looking for like this year versus five years away and like where we should sort of be long term."
a,00:20:29.15 - 00:20:46.42,"Um and we also do things like we hold office hours, we present in every I present in every monthly um uh company, all hands that we have on updates, where we just try to like, hit people on multiple kind of levels and layers to get them engaged and excited."
a,00:20:46.43 - 00:21:00.29,"Um and we found that that's really worked, at least for us, I mean, we still get tons of questions, people just, there's a lot of interest, people really want to know what we're up to, what we're doing and uh that we're actually doing what we say we're gonna do."
a,00:21:01.02 - 00:21:13.73,"So I sometimes feel more pressure from our internal teams than I do from like, press or anyone else that like, asks us questions about what we're doing, because it really is a hard, it's a high bar to live up to."
a,00:21:13.74 - 00:21:28.45,"Um but I think at the end of the day, like, what we're really trying to do is make make our goals and and our work around sustainability, just part of the regular kind of almost equivalent to business acumen."
a,00:21:28.45 - 00:21:37.37,"So, as the finance team in all hands is presenting on our financials as like, you know, all of these like, traditional business units are presenting."
a,00:21:37.37 - 00:21:46.86,We also have sustainability presenting right alongside them to show how how how or how not our goals are kind of lining up with each other.
a,00:21:46.86 - 00:22:04.13,"So I think it's really important from like that top down perspective, but that we're also getting in, you know, throughout various levels and across various teams like helping to really break down the science or the metrics um into a way that's really understandable for everybody."
a,00:22:04.14 - 00:22:08.28,Um and hopefully that also translates out to our customers as well.
a,00:22:08.81 - 00:22:42.25,"Yeah, I mean that sounds like a pretty utopian sustainability company based on like a lot of our people that we talked to, they're like we need to be better aligned with business goals and Yeah and you guys even have leadership KPI s tied to sustainability and that's something very specific heard before and like what how are those KPI s um like tracked and checked um like you have to go and say okay you met um your goals for this year."
a,00:22:42.26 - 00:22:51.28,Um do does the leadership understand how to achieve those goals or like what is what are the actions that are set in place?
a,00:22:51.29 - 00:22:54,"Yeah, that's a good question."
a,00:22:54 - 00:23:07.50,"And I'll also say that a lot of this kind of um more substantial side of like the goal setting, the strategic roadmap we've built, this is all just happened in the past year and a half."
a,00:23:07.51 - 00:23:09.33,So it's still a little new.
a,00:23:09.33 - 00:23:16.26,"So like all of these um these kind of specifics are really new to, to our organization."
a,00:23:16.27 - 00:23:31.73,Um It was the topics are not new but like the strategy and the tracking is um so the way that we're doing it is we're trying to actually build into all of our existing systems.
a,00:23:31.74 - 00:24:14.05,"so we already use a system right now where every individual in the company, no matter what your department or level, um you have to go in and set goals for yourselves, that kind of ladder up to our overarching company um company goals that we have like 3 to 5 strategic goals for the company, those then get distilled on the team basis, and then you have your individual goals that you're working towards, so we do that on a quarterly basis, and then we also have to write feedback for ourselves and have conversations with our direct managers about our goals and our progress and kind of what we want to work on in the future."
a,00:24:14.06 - 00:24:34.45,"So um this is something that our people team or our HR team is really in control of, but um depending on the team and and kind of like what our sustainability priorities are, specific teams will have those like sustainability goals that are built into that goal setting process."
a,00:24:34.46 - 00:25:04.60,"So um we have them for, we have really big preferred material schools, so this is something that our raw material sustainability product development and sourcing teams have written into their kind of goals for for this year, we only do it on like an annual basis, I kind of wish maybe we could do it a little further out, um but it's just it's just annual, so each quarter you kind of are like setting your little mini goals for that bigger annual goal."
a,00:25:04.81 - 00:25:14.56,"Um but we do the same thing for our carbon reduction goals, um we do the same thing for some of our social uh social impact measures."
a,00:25:14.57 - 00:25:20.33,Um and those are the really big ones.
a,00:25:20.34 - 00:25:22.91,"Oh, but then we also have like marketing goals as well."
a,00:25:22.92 - 00:25:34.81,"Um So depending on like the function and the and what the goals are, like, there will be specific kind of indicators that are being tracked that way."
a,00:25:34.82 - 00:25:40.68,I don't think it's a super um savvy.
a,00:25:41.52 - 00:26:04.82,"Um but that's just kind of like the best tool that we have right now, so I'm sure we're we're actually not um really tracking that closely, like how were we don't have like the agility or like the real time, uh like accuracy to see how how a team or how an individual is, is tracking at any given time."
a,00:26:06.22 - 00:26:11.45,But I think what we do see is the change in some of the numbers.
a,00:26:11.46 - 00:26:20.57,"So like we are tracking on it on a more macro level, like how we are transitioning from conventional cotton to organic based on like fabric count."
a,00:26:20.58 - 00:26:33.84,"Um Similarly for for carbon emissions, like we do similar exercises, we know um kind of what, depending on which factories we allocate to or which materials were building into."
a,00:26:33.84 - 00:26:40.89,We can kind of get a sense of directionally where our emissions profile is going to be for next year for instance.
a,00:26:40.90 - 00:26:49.05,"So I've seen like material things and yeah, that was like a lot of information."
a,00:26:49.57 - 00:26:51.19,Yeah.
a,00:26:51.20 - 00:27:02.40,When you say this tool that you used to track um I think your KPI is is that like just a KPI tracking tool or is this something that you know something that your HR team built into?
a,00:27:02.40 - 00:27:04.74,No it's it's called reflective with a.
a,00:27:04.74 - 00:27:05.69,K.
a,00:27:05.70 - 00:27:11.55,Um And it's I think it's something a lot of like startups kind of use.
a,00:27:11.55 - 00:27:18.20,It's just um I'm sure I'm sure we pay for access to it but it's basically just like a pr tracker.
a,00:27:18.21 - 00:27:26.40,Um And I think it's a way to help facilitate like conversations and goal setting between leaders and team members.
a,00:27:27.17 - 00:27:29.40,Um Cool.
a,00:27:29.40 - 00:27:35.49,So moving on to um Science based target work.
a,00:27:35.49 - 00:27:44.86,"Have you, has your organization put any resources towards um specifically the science based target initiative?"
a,00:27:45.39 - 00:27:47.24,What has that been like?
a,00:27:47.82 - 00:27:54.77,So we um were approved for our science-based target in October of 2021.
a,00:27:55.33 - 00:28:09.81,"Um And pride in the lead up to that, we had actually hired a consulting firm to perform our 2019 baseline kind of greenhouse gas footprint."
a,00:28:09.82 - 00:28:20.92,Um And in the process of kind of going setting up for two to propose are science based targets.
a,00:28:20.93 - 00:28:28.72,We started working with a second group called watershed which is more of like a platform to help measure.
a,00:28:29.25 - 00:28:34.16,So we've we've definitely put resources into like the measurement side.
a,00:28:34.17 - 00:28:59.84,"Um we're now working with with watershed on a kind of an ongoing basis um to perform our annual footprints, trying to really get a lot um closer and uh more, more real time as much as possible within that measurement and also build out tools to be able to project what um, what our emissions profile is going to be based on the decisions that we're making."
a,00:28:59.84 - 00:29:10.61,So one of the maybe interesting things about the apparel and footwear world is The decisions that we're making.
a,00:29:10.61 - 00:29:15.92,So we work basically a calendar year um ahead of time.
a,00:29:15.93 - 00:29:31.52,"So the product that we are designing and developing right now in August of 2022 is going to be the product that we're actually going to realize emissions for in August of 2023 um, and possibly even later."
a,00:29:31.76 - 00:29:52.52,"So we're trying to build with watershed a tool or a way to kind of get a sense of instead of looking backwards, doing like an annual review of the previous year's greenhouse gas footprint, how can we actually make better decisions today?"
a,00:29:52.53 - 00:29:56.06,Based on what we know our goals are set to be in the future.
a,00:29:56.07 - 00:29:58.47,So we know that we want to be at a certain place.
a,00:29:58.65 - 00:30:05.02,"Um, you know, by the end of 2025, just kind of directionally to show progress towards our 2030 goal."
a,00:30:05.03 - 00:30:16.48,"So like what do we need to do today, what do we need to be thinking about from a materials perspective from a manufacturing perspective, obviously logistics etc, like all of the decisions."
a,00:30:16.49 - 00:30:29.03,"Um, so that we can kind of get more of like more into the projecting um side of things rather than just like a retrospective analysis of our previous results."
a,00:30:29.04 - 00:30:49.08,So we're putting a lot of uh kind of human resources into that right now into thinking about how that would how that could just sort of manifest and be used as a tool and and also cross functionally as a as a tool for like a directional read on our climate goals.
a,00:30:49.09 - 00:30:57.19,Um But yeah we've we've done quite a bit of work especially for a company of our size in in in the C.T.
a,00:30:57.99 - 00:31:01.59,And what has the relationship with watershed been like?
a,00:31:01.59 - 00:31:12.71,Are they more on a consultant type of um feeling I guess um rather like or is it does it feel like they're part of your company?
a,00:31:12.72 - 00:31:24.01,"Um It doesn't feel like they're part of our company, it definitely is more like a consulting relationship but they've been really great and helpful."
a,00:31:24.01 - 00:31:33.50,So we were we were the for their first um kind of fashion company that signed onto their platforms.
a,00:31:33.50 - 00:31:54.30,"So the first year that we worked together with a lot, I mean we had weekly calls like um we really were helping them I think build what their dashboard and kind of back end system needed to look like and be and kind of compute for for our industry."
a,00:31:54.78 - 00:32:00.24,Um So that was a look that that's been you know a year in the making.
a,00:32:00.25 - 00:32:29.80,"Um and now we still, we now have bi weekly calls with them and we work very closely just to kind of continue both on the measurement side, but also on this this build out of this kind of special part of the tool that we really want to see um embedded in the platform, so um yeah, I guess it is more like a consultant consulting relationship and is there So you you've been you've submitted and it has been accepted your science-based target."
a,00:32:29.81 - 00:32:35.60,"And how do you, what's the process internally of uh reporting on how you're doing?"
a,00:32:35.61 - 00:32:46.09,"Um is it I believe it's like 20, and it's an organic cotton, I believe you said um like what is the process of reporting on that?"
a,00:32:46.75 - 00:33:03.41,"So for science based targets, um I think the requirement is that you just have to be publicly reporting what your your progress or your challenges whatever um on an annual basis in the format and venue of your choice."
a,00:33:03.42 - 00:33:08.67,So it's really open open ended from a company perspective as far as reporting goes.
a,00:33:08.68 - 00:33:11.76,Um This is also something new Forever Lane.
a,00:33:11.76 - 00:33:16.63,We we just published our first sustainability report in april of this year.
a,00:33:17.79 - 00:33:32.70,Um so this is going to be the kind of forum that we're going to continue to update our constituents um about our our greenhouse gas accounting um in our sustainability report.
a,00:33:32.70 - 00:33:44.53,So we we've now kind of aligned that all of our major initiatives were just going to ladder into this report um and we'll be publishing it on an annual basis.
a,00:33:44.54 - 00:34:03.11,"Um But then we also use our just like website as well, so we have kind of an offshoot landing page that's connected to our sustainability site um where we just talk about our science based targets and we try to break it down for anybody who wants to learn more."
a,00:34:03.88 - 00:34:07.96,Um So yeah that's that's kind of where we're reporting it right now.
a,00:34:07.97 - 00:34:25.50,"We're not we are not yet um disclosing to carbon disclosure project or um any other uh Yeah, I don't know reporting structures um Yeah, we're just trying to take like 11 step at a time."
a,00:34:25.51 - 00:34:54.67,"Yeah, it sounds great um Yeah, so we're getting closer to the top of the hour, is there in general in Korea whether ever lean or past um jobs, like what are some of the biggest challenges that you've seen faced in either measurement or like the management or reporting of um a sustainability um Just very loaded question but um anything that you want to share would be great."
a,00:34:54.67 - 00:35:01.05,I mean like what are just the biggest challenges you've seen or anything?
a,00:35:01.05 - 00:35:01.63,Yeah.
a,00:35:01.64 - 00:35:35.87,"Yeah, I think the biggest challenge, Well there are a lot of challenges I think um the first is that our systems don't always talk to one another, so we actually have quite a number of like pretty big work drivers that were working against um right now that would just be so seamlessly easy if our internal systems could kind of speak to these like external platforms um or at least push information into them."
a,00:35:35.88 - 00:35:44.86,Um I think that's a really big myths and that's just something that's kind of like a recurring theme.
a,00:35:44.86 - 00:35:57.80,"Those are also the projects that tend to take the most kind of upfront thought and preparation and and it's really something you have to build into, it's not something you can just like plug in and and have it seamlessly operate."
a,00:35:57.81 - 00:36:03.66,So um I would say at a Berlin we're a little behind on that front.
a,00:36:03.67 - 00:36:14.80,Um just having our our systems kind of be equipped to talk to others um And and vice versa have them have been talked to our systems as well.
a,00:36:15.40 - 00:36:35.06,"I think in in the kind of carbon accounting world there's always this push and pull between um you know using your using primary data and uh leveraging averages, regional country, you know, whatever specific averages."
a,00:36:35.07 - 00:36:54.98,"Um And this is a really hot topic in our industry right now, I'm not sure if you've been following some of the news but um there's the Hig platform has actually gotten some pretty big um backlash and write ups um for various various reasons, I think like generally L."
a,00:36:54.98 - 00:36:55.20,C.
a,00:36:55.20 - 00:36:59.38,"A methodology, databases that are either open or closed."
a,00:36:59.39 - 00:37:10.28,"Just an ongoing discussion of like how accurate are these values, especially from external forces kind of trying to poke in and poke holes."
a,00:37:10.29 - 00:37:16.67,"Um you know, I think in an ideal world we would all love to be using primary data."
a,00:37:16.68 - 00:37:21.55,"The uh the reality is like we just can't, it's not feasible."
a,00:37:21.55 - 00:37:29.56,"So we have to leverage some, you know, pro proxies where we, where we need to um and just have that as a directional read."
a,00:37:29.56 - 00:37:37.59,"So I'm not sure if there's as much pressure and maybe some other industries around this, but certainly in the, in the fashion world there is."
a,00:37:38.32 - 00:38:12.69,"Um, so there's, there's that concern and yeah, I still think, I think that there's just like a real um I don't know if it's a misunderstanding or a disconnect or what, but I think there's still just not a very strong understanding kind of broadly um of how, how the decisions we make, what the, what the product kind of makeup is, um, how that impacts what like an emissions profile can be."
a,00:38:12.69 - 00:38:31.63,"And I think emissions are actually one of the easier ones to understand whenever we start talking about water and chemistry it or like soil health, biodiversity, like all of these really big um topics that are so crucial and important are actually really difficult to kind of break down into sizable chunks."
a,00:38:31.90 - 00:38:36.48,Um and I think that's difficult for a customer perspective for sure.
a,00:38:36.49 - 00:38:56.31,"Um you know, whenever they're just looking to buy a new t shirt or a pair of jeans that fit um it's kind of hard to kind of make the jump to this like educational world where you're talking about like carbon footprint and, you know, soil microbiome health, like it's, it's just very complex and complicated."
a,00:38:56.49 - 00:39:09.09,"Um and it's even hard from an internal perspective to even at a company like ever lane where the population is super interested and they, they're hungry for information and they want to learn."
a,00:39:09.09 - 00:39:18.01,I think there's still a lot of just misunderstanding about what it means and what the right decisions are and how we kind of can get there.
a,00:39:18.02 - 00:39:32.64,"So, um, yeah, I don't know, I hope it, I hope it all becomes more part of the vernacular and just kind of a way of doing business, but we're definitely trying to build something, I think that doesn't exist most places."
