,0
498,highest
499,"level,"
500,where
501,does
502,the
503,motivation
504,for
505,sustainability
506,um
507,come
508,from?
509,is
510,it
511,is
512,it
513,really
514,that
515,cause
516,that
517,marketing
518,need
519,or
520,is
521,it
522,something
523,that
524,comes
525,from
526,wanting
527,to
528,a
529,business
530,"perspective,"
531,or?
532,"yeah,"
533,who
534,who
535,is
536,like
537,setting
538,these
539,um
540,initiatives
541,um
542,up
543,as
544,like
545,a
546,core
547,responsibility
548,of
549,the
550,business.
551,"yeah,"
552,it's
553,probably
554,a
555,bit
556,of
557,both.
558,and
559,i
560,would
561,say
562,that
563,we've
564,um
565,we've
566,definitely
567,evolved
568,over
569,the
570,"years,"
571,but
572,from
573,from
574,the
575,very
576,beginning
577,there's
578,been
579,we
580,our
581,brand
582,just
583,started
584,about
585,10
586,years
587,"ago,"
588,so
589,we're
590,still
591,fairly
592,young
593,and
594,nimble
595,and
596,agile
597,and
598,we're
599,not
600,a
601,"huge,"
602,you
603,"know,"
604,organization
605,with
606,very
607,"complex,"
608,you
609,"know,"
610,reporting
611,structures
612,and
613,huge
614,teams.
615,so
616,we're
617,still
618,fairly
619,small.
620,and
621,the
622,way
623,that
624,the
625,company
626,was
627,founded
628,was
629,on
630,this
631,idea
632,of
633,transparency
634,first
635,to
636,the
637,"customer,"
638,we
639,started
640,off
641,by
642,giving
643,full
644,cost
645,breakdowns
646,of
647,all
648,of
649,our
650,garments
651,that
652,we
653,produced
654,on
655,our
656,website
657,and
658,that
659,was
660,really
661,novel
662,at
663,the
664,time.
665,um
666,from
667,there
668,we
669,kind
670,of
671,morphed
672,and
673,evolved
674,into
675,transparency
676,of
677,our
678,supply
679,chains.
680,so
681,"again,"
682,we
683,were
684,one
685,of
686,the
687,first
688,companies
689,to
690,um
691,really
692,give
693,insights
694,into
695,the
696,partnerships
697,that
698,we
699,were
700,building
701,upstream
702,of
703,who
704,was
705,actually
706,doing
707,the
708,work
709,of
710,"manufacturing,"
711,putting
712,together
713,the
714,products
715,that
716,we
717,were
718,creating.
719,um
720,and
721,so
722,that's
723,kind
724,of
725,seamlessly
726,evolved
727,more
728,so
729,into
730,including
731,more
732,of
733,the
734,environmental
735,metrics
736,and
737,also
738,social
739,um
740,metrics
741,as
742,"well,"
743,which
744,is
745,kind
746,of
747,where
748,we
749,are
750,today.
751,so
752,it's
753,sort
754,of
755,been
756,part
757,of
758,our
759,d.n.a.
760,in
761,one
762,way
763,or
764,another
765,since
766,the
767,very
768,beginning
769,and
770,i
771,think
772,that
773,that
774,core
775,so
776,we've
777,sort
778,of
779,had
780,like
781,a
782,mission
783,driven
784,organization
785,from
786,um
787,from
788,kind
789,of
790,the
791,inception
792,of
793,the
794,"brand,"
795,it's
796,just
797,kind
798,of
799,taken
800,different
801,different
802,stages
803,depending
804,on
805,on
806,the
807,time
808,of
809,our
810,iteration.
811,um
812,so
813,we
814,do
815,have
816,a
817,mission
818,today
819,that
820,is
821,very
822,core
823,to
824,how
825,we
826,work
827,and
828,operate.
829,um
830,and
831,it's
832,it's
833,also
834,our
835,sustainability
836,mission
837,as
838,"well,"
839,so
840,um
841,i
842,think
843,that's
844,kind
845,of
846,driving
847,at
848,the
849,core.
850,and
851,then
852,we
853,also
854,have
855,from
856,a
857,very
858,kind
859,of
860,top
861,level
862,perspective
863,all
864,of
865,our
866,c
867,suite
868,in
869,some
870,way
871,shape
872,or
873,form
874,now
875,have
876,sustainability
877,metrics
878,kind
879,of
880,built
881,into
882,their
883,performance
884,uh
885,performance.
886,um
887,kpi
888,s.
889,um
890,and
891,so
892,those
893,kind
894,of
895,trickle
896,down
897,into
898,into
899,each
900,of
901,the
902,individual
903,teams
904,that
905,we're
906,working
907,with.
908,so
909,it's
910,sort
911,of
912,the
913,piece
914,that
915,i
916,think
917,differentiates
918,us
919,and
920,sets
921,us
922,apart
923,but
924,we're
925,also
926,really
927,powerful
928,storytellers.
929,so
930,um
931,i
932,wouldn't
933,minimize
934,the
935,marketing
936,angle
937,either.
938,um
939,i
940,think
941,we
942,really
943,see
944,that
945,as
946,as
947,this
948,is
949,kind
950,of
951,our
952,differentiating
953,feature
954,and
955,we
956,want
957,to
958,talk
959,about
960,it.
961,um
962,we
963,also
964,want
965,to
966,create
967,a
968,movement
969,with
970,our
971,customers
972,and
973,with
974,our
975,communities
976,where
977,we're
978,selling
979,and
980,where
981,we're
982,operating
983,so
984,um.
985,yeah.
986,yeah
987,it's
988,awesome.
989,um
990,yeah
991,i
992,remember
993,whenever
994,linda
995,started
996,um
997,and
998,i
999,was
1000,like
1001,well
1002,this
1003,seems
1004,like
1005,a
1006,less
1007,expensive.
1008,still
1009,sure
1010,so
1011,i'm
1012,gonna
1013,go
1014,there
1015,and
1016,i've
1017,been
1018,to
1019,the
1020,store
1021,in
1022,"soho,"
1023,it's
1024,a
1025,really
1026,great
1027,experience
1028,all
1029,through.
1030,yeah.
1031,um
1032,so
1033,um
1034,there's
1035,definitely
1036,a
1037,lot
1038,of
1039,interesting
1040,parts
1041,that
1042,you've
1043,"mentioned,"
1044,but
1045,we've
1046,heard
1047,that
1048,there's
1049,a
1050,lot
1051,of
1052,from
1053,our
1054,experience
1055,um
1056,there's
1057,a
1058,lot
1059,of
1060,issues
1061,with
1062,supply
1063,chain
1064,um
1065,data
1066,gathering
1067,and
1068,management.
1069,um
1070,would
1071,you
1072,like
1073,what
1074,is
1075,that
1076,process?
1077,"like,"
1078,like
1079,how
1080,do
1081,you
1082,find
1083,your
1084,suppliers?
1085,how
1086,do
1087,you
1088,survey
1089,them?
1090,um
1091,how
1092,do
1093,you
1094,audit
1095,them?
1096,and
1097,like
1098,what
1099,"is,"
1100,what
1101,are
1102,the
1103,biggest
1104,challenges
1105,with
1106,your
1107,suppliers?
1108,oh
1109,gosh.
1110,uh
1111,that's
1112,a
1113,that's
1114,a
1115,lot
1116,of
1117,question.
1118,um
1119,"sorry,"
1120,i
1121,also
1122,have
1123,covid
1124,right
1125,"now,"
1126,so
1127,if
1128,i
1129,might
1130,need
1131,to
1132,mute
1133,occasionally
1134,just
1135,to
1136,talk
1137,it
1138,out.
1139,um
1140,so
1141,uh
1142,a
1143,few
1144,different
1145,things.
1146,so
1147,we
1148,many
1149,of
1150,our
1151,"factories,"
1152,we've
1153,"actually,"
1154,i
1155,don't
1156,know
1157,the
1158,exact
1159,percentage
1160,"today,"
1161,it's
1162,got
1163,to
1164,be
1165,like
1166,65
1167,70%
1168,of
1169,the
1170,factories
1171,that
1172,we've
1173,worked
1174,"with,"
1175,we've
1176,actually
1177,had
1178,relationships
1179,with
1180,for
1181,five
1182,years
1183,or
1184,more.
1185,so
1186,the
1187,majority
1188,of
1189,our
1190,upstream
1191,suppliers
1192,are
1193,people
1194,that
1195,have
1196,been
1197,in
1198,our
1199,network
1200,for
1201,quite
1202,a
1203,"while,"
1204,but
1205,because
1206,of
1207,a
1208,lot
1209,of
1210,the
1211,recent
1212,supply
1213,chain
1214,challenges
1215,and
1216,changes
1217,primarily
1218,due
1219,to
1220,covid
1221,but
1222,also
1223,for
1224,other
1225,uh
1226,kind
1227,of
1228,socio
1229,political
1230,um
1231,"issues,"
1232,we
1233,have
1234,been
1235,kind
1236,of
1237,exploring
1238,additional
1239,"partnerships,"
1240,so
1241,the
1242,way
1243,that
1244,we
1245,find
1246,um
1247,factories
1248,and
1249,facilities
1250,is
1251,probably
1252,very
1253,similar
1254,to
1255,the
1256,way
1257,others
1258,do
1259,just
1260,by
1261,by
1262,"researching,"
1263,we
1264,also
1265,get
1266,a
1267,fair
1268,amount
1269,of
1270,um
1271,of
1272,factories
1273,and
1274,suppliers
1275,reaching
1276,out
1277,to
1278,us
1279,because
1280,they
1281,want
1282,to
1283,work
1284,with
1285,us.
1286,um
1287,so
1288,it
1289,kind
1290,of
1291,"depends,"
1292,we
1293,do
1294,have
1295,a
1296,pretty
1297,rigorous
1298,um
1299,uh
1300,what
1301,we
1302,call
1303,like
1304,a
1305,risk
1306,assessment
1307,where
1308,we
1309,collect
1310,a
1311,lot
1312,of
1313,documentation
1314,up
1315,front
1316,around
1317,the
1318,kind
1319,of
1320,performance
1321,of
1322,the
1323,"factory,"
1324,not
1325,just
1326,on
1327,the
1328,quality
1329,and
1330,technical
1331,side
1332,which
1333,we
1334,have
1335,people
1336,in
1337,our
1338,quality
1339,and
1340,sourcing
1341,and
1342,product
1343,development
1344,teams
1345,who
1346,are
1347,asking
1348,about
1349,like
1350,equipment
1351,and
1352,machinery
1353,and
1354,like
1355,what
1356,kind
1357,of
1358,no
1359,house
1360,and
1361,you
1362,know
1363,cost
1364,breakdowns
1365,and
1366,things
1367,like
1368,that.
1369,so
1370,there's
1371,like
1372,a
1373,business
1374,side
1375,of
1376,our
1377,risk
1378,assessment.
1379,um
1380,and
1381,then
1382,more
1383,importantly
1384,for
1385,the
1386,sustainability
1387,side
1388,we
1389,do
1390,a
1391,risk
1392,assessment
1393,based
1394,on
1395,um
1396,like
1397,history
1398,of
1399,social
1400,audit
1401,performance.
1402,so
1403,we
1404,ask
1405,for
1406,historical
1407,records
1408,um
1409,that
1410,the
1411,the
1412,facilities
1413,can
1414,share
1415,with
1416,us.
1417,we're
1418,also
1419,looking
1420,at
1421,um
1422,whether
1423,or
1424,not
1425,they
1426,have
1427,certain
1428,certifications
1429,that
1430,also
1431,align
1432,with
1433,the
1434,work
1435,that
1436,we're
1437,doing.
1438,either
1439,on
1440,a
1441,material
1442,side
1443,or
1444,on
1445,a
1446,process
1447,side.
1448,so
1449,it
1450,can
1451,be
1452,a
1453,g.o.t.s
1454,certification
1455,for
1456,being
1457,for
1458,producing
1459,uh
1460,uh
1461,organic
1462,cotton
1463,goods.
1464,it
1465,can
1466,be
1467,a
1468,grs
1469,certification
1470,for
1471,being
1472,able
1473,to
1474,produce
1475,um
1476,certified
1477,recycled
1478,good
1479,materials
1480,or
1481,products.
1482,um
1483,but
1484,it
1485,can
1486,also
1487,be
1488,like
1489,a
1490,z.h.c.
1491,certification
1492,which
1493,is
1494,for
1495,um
1496,water
1497,and
1498,chemical
1499,practices.
1500,so
1501,we're
1502,kind
1503,of
1504,looking
1505,on
1506,on
1507,a
1508,few
1509,different
1510,fronts
1511,and
1512,it
1513,sort
1514,of
1515,depends
1516,on
1517,what
1518,the
1519,specialty
1520,of
1521,that
1522,factory
1523,is.
1524,but
1525,we
1526,"do,"
1527,we
1528,have
1529,like
1530,a
1531,matrix
1532,that
1533,we
1534,we
1535,plug
1536,"different,"
1537,"um,"
1538,different
1539,performance
1540,values
1541,into
1542,that
1543,kind
1544,of
1545,gives
1546,us
1547,whether
1548,or
1549,not
1550,this
1551,this
1552,factory
1553,could
1554,kind
1555,of
1556,fit
1557,our
1558,needs
1559,or
1560,be
1561,a
1562,good
1563,partner.
1564,"um,"
1565,i
1566,think
1567,a
1568,big
1569,part
1570,of
1571,what
1572,"we,"
1573,what
1574,we
1575,try
1576,to
1577,stress
1578,is
1579,communication
1580,and
1581,"um,"
1582,we
1583,we
1584,like
1585,to
1586,have
1587,meetings
1588,prior
1589,to
1590,"covid,"
1591,we
1592,would
1593,have
1594,done
1595,a
1596,lot
1597,of
1598,this
1599,in
1600,person.
1601,"um,"
1602,but
1603,right
1604,now
1605,we're
1606,doing
1607,a
1608,lot
1609,of
1610,it
1611,over
1612,zoom.
1613,so
1614,we
1615,go
1616,through
1617,a
1618,pretty
1619,"rigorous,"
1620,"uh,"
1621,kind
1622,of
1623,upfront
1624,vetting
1625,process
1626,and
1627,then
1628,before
1629,we
1630,"ever,"
1631,"um,"
1632,you
1633,"know,"
1634,place
1635,any
1636,orders
1637,or
1638,start
1639,any
1640,production
1641,in
1642,a
1643,factory.
1644,we
1645,do
1646,our
1647,"own,"
1648,"um,"
1649,third
1650,party
1651,audit
1652,assessment.
1653,so
1654,we
1655,work
1656,with
1657,a
1658,company
1659,called
1660,"elevate,"
1661,"um,"
1662,and
1663,also
1664,another
1665,company
1666,called
1667,arch
1668,advisors.
1669,and
1670,those
1671,are
1672,two
1673,third
1674,party
1675,social
1676,"compliance,"
1677,"um,"
1678,environmental
1679,"compliance,"
1680,"uh,"
1681,companies
1682,"that,"
1683,that
1684,have
1685,a
1686,lot
1687,of
1688,boots
1689,on
1690,the
1691,"ground,"
1692,a
1693,lot
1694,"of,"
1695,"um,"
1696,throughout
1697,the
1698,world.
1699,so
1700,"there,"
1701,you
1702,"know,"
1703,they
1704,cover
1705,a
1706,lot
1707,of
1708,different
1709,geographical
1710,regions.
1711,they
1712,speak
1713,a
1714,lot
1715,of
1716,the
1717,local
1718,languages.
1719,they
1720,have
1721,an
1722,understanding
1723,of
1724,some
1725,of
1726,the
1727,nuances
1728,of
1729,things
1730,like
1731,migrant
1732,labor
1733,and
1734,various
1735,countries
1736,or
1737,regions.
1738,and
1739,so
1740,they
1741,we
1742,"do,"
1743,we
1744,don't
1745,do
1746,any
1747,of
1748,this
1749,in
1750,house
1751,because
1752,we
1753,just
1754,don't
1755,have
1756,the
1757,knowledge
1758,or
1759,expertise.
1760,and
1761,we're
1762,also
1763,"um,"
1764,really
1765,contained
1766,by
1767,what
1768,we're
1769,able
1770,to
1771,where
1772,we're
1773,able
1774,to
1775,go
1776,right
1777,now.
1778,so
1779,we
1780,leverage
1781,these
1782,third
1783,parties
1784,who
1785,go
1786,out
1787,on
1788,our
1789,behalf
1790,and
1791,complete
1792,a
1793,full
1794,audit
1795,of
1796,each
1797,facility
1798,far
1799,before
1800,we
1801,ever
1802,um
1803,would
1804,place
1805,an
1806,order
1807,in
1808,any
1809,factory.
1810,so
1811,we
1812,do
1813,that
1814,process
1815,and
1816,then
1817,we
1818,continue
1819,to
1820,do
1821,that
1822,year
1823,after
1824,"year,"
1825,just
1826,as
1827,kind
1828,of
1829,a
1830,um
1831,uh
1832,on
1833,this
1834,path
1835,kind
1836,of
1837,we
1838,we
1839,say
1840,towards
1841,continuous
1842,improvement.
1843,um
1844,so
1845,we're
1846,tracking
1847,kind
1848,of
1849,progress
1850,and
1851,outcomes
1852,of
1853,these
1854,audits
1855,over
1856,time
1857,um
1858,with
1859,the
1860,hope
1861,that
1862,eventually
1863,um
1864,you
1865,"know,"
1866,maybe
1867,we
1868,won't
1869,have
1870,to
1871,do
1872,them
1873,"anymore,"
1874,but
1875,that's
1876,kind
1877,of
1878,a
1879,very
1880,far
1881,um
1882,not
1883,something
1884,that
1885,that
1886,that
1887,the
1888,industry
1889,is
1890,uh
1891,is
1892,really
1893,ready
1894,"for,"
1895,but
1896,that's
1897,kind
1898,of
1899,the
1900,idea
1901,is
1902,that
1903,all
1904,of
1905,these
1906,places
1907,will
1908,be
1909,operating
1910,well.
1911,um
1912,and
1913,then
1914,on
1915,the
1916,environmental
1917,side
1918,we
1919,use
1920,a
1921,couple
1922,of
1923,different
1924,tools.
1925,i
1926,think
1927,first
1928,of
1929,"all,"
1930,we
1931,we
1932,try
1933,to
1934,align
1935,ourselves
1936,with
1937,factories
1938,that
1939,already
1940,inherently
1941,have
1942,some
1943,type
1944,of
1945,environmental
1946,um
1947,metric
1948,kind
1949,of
1950,or
1951,or
1952,they're
1953,doing
1954,something
1955,kind
1956,of
1957,above
1958,and
1959,beyond
1960,to
1961,begin
1962,with.
1963,so
1964,we
1965,work
1966,with
1967,a
1968,lot
1969,of
1970,factories
1971,that
1972,um
1973,are
1974,kind
1975,of
1976,on
1977,the
1978,cutting
1979,edge
1980,of
1981,various
1982,technologies
1983,that
1984,help
1985,with
1986,water
1987,savings
1988,and
1989,recovery
1990,or
1991,chemical
1992,management
1993,or
1994,um
1995,just
1996,kind
1997,of
1998,specialize
1999,depending
2000,on
2001,what
2002,their
2003,expertise
2004,is.
2005,so
2006,you
2007,mentioned
2008,silk.
2009,so
2010,we
2011,work
2012,with
2013,this
2014,great
2015,factory
2016,um
2017,in
2018,china
2019,that
2020,uh
2021,is
2022,leed
2023,certified
2024,and
2025,they
2026,have
2027,solar
2028,solar
2029,"panels,"
2030,you
2031,"know,"
2032,direct
2033,solar
2034,on
2035,their
2036,roofs.
2037,and
2038,they
2039,have
2040,this
2041,amazing
2042,kind
2043,of
2044,blue
2045,sign
2046,certified
2047,chemical
2048,and
2049,water
2050,recovery
2051,process.
2052,so
2053,we
2054,try
2055,to
2056,find
2057,like
2058,these
2059,special
2060,um
2061,factories
2062,and
2063,makers
2064,throughout
2065,the
2066,world
2067,to
2068,our
2069,specialists
2070,and
2071,what
2072,they
2073,do
2074,but
2075,are
2076,also
2077,doing
2078,what
2079,they
2080,do
2081,better
2082,than
2083,the
2084,rest.
2085,um
2086,so
2087,that's
2088,kind
2089,of
2090,another
2091,point
2092,that
2093,that
2094,we
2095,really
2096,try
2097,to
2098,search
2099,for
2100,in
2101,building
2102,out
2103,those
2104,long
2105,term
2106,relationships.
2107,but
2108,we
2109,are
2110,also
2111,um
2112,uh
2113,using
2114,using
2115,a
2116,tool
2117,called
2118,the
2119,hig
2120,f.e.m.
2121,this
2122,is
2123,a
2124,a
2125,tool
2126,that
2127,the
2128,s.a.c.
2129,or
2130,the
2131,sustainable
2132,apparel
2133,coalition
2134,has
2135,been
2136,building
2137,for
2138,the
2139,"past,"
2140,i
2141,don't
2142,know
2143,a
2144,decade
2145,and
2146,a
2147,half
2148,or
2149,something.
2150,um
2151,and
2152,so
2153,the
2154,facilities
2155,tool
2156,specifically
2157,is
2158,an
2159,annual
2160,uh
2161,kind
2162,of
2163,survey
2164,that
2165,has
2166,been
2167,audited
2168,or
2169,verified
2170,by
2171,a
2172,third
2173,party
2174,and
2175,and
2176,they
2177,are
2178,collecting
2179,information
2180,across
2181,a
2182,number
2183,of
2184,different
2185,indicators.
2186,so
2187,we're
2188,looking
2189,at
2190,um
2191,air
2192,"emissions,"
2193,looking
2194,at
2195,electricity
2196,"use,"
2197,um
2198,water
2199,use
2200,and
2201,"consumption,"
2202,water
2203,effluent
2204,waste
2205,generation
2206,uh
2207,details
2208,on
2209,materials.
2210,so
2211,there's
2212,a
2213,whole
2214,"host,"
2215,it's
2216,a
2217,very
2218,extensive
2219,um
2220,kind
2221,of
2222,survey
2223,and
2224,that's
2225,really
2226,the
2227,best
2228,way
2229,aside
2230,from
2231,our
2232,our
2233,audits
2234,that
2235,were
2236,performing
2237,um
2238,that's
2239,the
2240,best
2241,way
2242,that
2243,we're
2244,really
2245,getting
2246,kind
2247,of
2248,detailed
2249,factual
2250,information
2251,on
2252,an
2253,environmental
2254,perspective
2255,from
2256,each
2257,of
2258,our
2259,factories.
2260,so
2261,we're
2262,in
2263,the
2264,process
2265,of
2266,rolling
2267,this
2268,"out,"
2269,i
2270,think
2271,um
2272,about
2273,90%
2274,of
2275,our
2276,tier
2277,one
2278,factories
2279,are
2280,now
2281,on
2282,boarded
2283,and
2284,something
2285,like
2286,80%
2287,of
2288,our
2289,strategic
2290,tier
2291,two
2292,um
2293,are
2294,on
2295,this
2296,platform
2297,as
2298,well.
2299,so
2300,it's
2301,a
2302,really
2303,good
2304,way
2305,for
2306,us
2307,to
2308,kind
2309,of
2310,look
2311,at
2312,the
2313,"dashboard,"
2314,so
2315,to
2316,speak.
2317,it's
2318,not
2319,really
2320,built
2321,in
2322,a
2323,dashboard
2324,format
2325,that
2326,we
2327,can
2328,"download,"
2329,download
2330,the
2331,individual
2332,results
2333,and
2334,kind
2335,of
2336,put
2337,them
2338,in
2339,a
2340,big
2341,spreadsheet
2342,and
2343,um
2344,see
2345,trends
2346,and
2347,track
2348,them
2349,over
2350,time.
2351,so
2352,that's
2353,sort
2354,of
2355,what
2356,we're
2357,doing
2358,and
2359,are
2360,the
2361,factories
2362,in
2363,putting
2364,all
2365,this
2366,information
2367,themselves
2368,is
2369,a
2370,very
2371,manual
2372,for
2373,them.
2374,like
2375,how
2376,do
2377,"you,"
2378,how
2379,do
2380,"you,"
2381,how
2382,do
2383,you
2384,know
2385,it's
2386,accurate
2387,or
2388,is
2389,that
2390,the
2391,auditing
2392,process?
2393,so
2394,that's
2395,the
2396,verification
2397,part
2398,of
2399,it.
2400,so
2401,um
2402,there
2403,and
2404,and
2405,the
2406,majority
2407,of
2408,the
2409,facilities
2410,that
2411,we're
2412,working
2413,with
2414,right
2415,now
2416,do
2417,have
2418,their
2419,scores
2420,verified
2421,there
2422,in
2423,the
2424,inputs
2425,verified
2426,at
2427,this
2428,point.
2429,"um,"
2430,and
2431,we
2432,have
2433,kind
2434,of
2435,like
2436,"a,"
2437,a
2438,work
2439,up
2440,to
2441,this
2442,point
2443,as
2444,"well,"
2445,so
2446,maybe
2447,like
2448,the
2449,first
2450,year
2451,of
2452,"partnership,"
2453,we
2454,just
2455,have
2456,them
2457,do
2458,a
2459,self
2460,assessment
2461,and
2462,then
2463,we
2464,build
2465,it
2466,in
2467,that
2468,the
2469,second
2470,"year,"
2471,you
2472,"know,"
2473,depending
2474,how
2475,things
2476,are
2477,"going,"
2478,we
2479,work
2480,with
2481,them
2482,for
2483,the
2484,"year,"
2485,we'll
2486,have
2487,them
2488,go
2489,through
2490,the
2491,verification
2492,process
2493,"etcetera,"
2494,etcetera.
2495,so
2496,i
2497,think
2498,the
2499,first
2500,time
2501,is
2502,probably
2503,the
2504,most
2505,cumbersome
2506,and
2507,difficult.
2508,but
2509,what's
2510,good
2511,about
2512,this
2513,platform
2514,is
2515,um
2516,the
2517,year
2518,over
2519,year
2520,kind
2521,of
2522,scores
2523,or
2524,details
2525,would
2526,be
2527,uh
2528,you
2529,can
2530,kind
2531,of
2532,like
2533,carry
2534,them
2535,"over,"
2536,so
2537,"it's,"
2538,you
2539,don't
2540,have
2541,to
2542,go
2543,through
2544,necessarily
2545,like
2546,all
2547,of
2548,the
2549,same
2550,work
2551,and
2552,"calculations,"
2553,but
2554,you
2555,"know,"
2556,like
2557,what
2558,kind
2559,of
2560,details
2561,and
2562,documents
2563,you
2564,need
2565,to
2566,gather
2567,to
2568,kind
2569,of
2570,complete
2571,it.
2572,so
2573,i
2574,think
2575,like
2576,with
2577,all
2578,of
2579,these
2580,reporting
2581,"mechanisms,"
2582,there
2583,is
2584,a
2585,level
2586,of
2587,probably
2588,difficulty
2589,and
2590,and
2591,time
2592,consumption
2593,that
2594,goes
2595,into
2596,it.
2597,um
2598,but
2599,what's
2600,also
2601,good
2602,about
2603,hig
2604,is
2605,it's
2606,at
2607,least
2608,to
2609,my
2610,"knowledge,"
2611,the
2612,only
2613,kind
2614,of
2615,unified
2616,um
2617,survey
2618,that
2619,a
2620,lot
2621,of
2622,these
2623,factories
2624,are
2625,receiving
2626,and
2627,it's
2628,becoming
2629,a
2630,bit
2631,um
2632,it's
2633,not
2634,quite
2635,"ubiquitous,"
2636,but
2637,i
2638,think
2639,"it's,"
2640,it's
2641,kind
2642,of
2643,on
2644,its
2645,way
2646,to
2647,that
2648,path
2649,where
2650,a
2651,lot
2652,of
2653,brands
2654,in
2655,particular
2656,"are,"
2657,are
2658,kind
2659,of
2660,requiring
2661,this
2662,of
2663,of
2664,at
2665,least
2666,tier
2667,one
2668,factories.
2669,um
2670,so
2671,i
2672,"think,"
2673,you
2674,"know,"
2675,a
2676,factory
2677,just
2678,has
2679,to
